iter	Passed	Remaining
0	17	5372
1	35	5347
2	52	5192
3	68	5039
4	84	4969
5	101	4986
6	117	4934
7	134	4900
8	150	4868
9	167	4853
10	186	4895
11	205	4938
12	225	4979
13	250	5108
14	266	5057
15	282	5009
16	298	4975
17	315	4942
18	331	4905
19	347	4865
20	363	4833
21	380	4803
22	395	4767
23	414	4763
24	434	4779
25	456	4806
26	478	4840
27	499	4856
28	516	4830
29	536	4831
30	557	4838
31	579	4852
32	602	4873
33	630	4929
34	679	5142
35	712	5225
36	742	5278
37	762	5257
38	781	5227
39	799	5199
40	817	5162
41	836	5138
42	856	5117
43	875	5096
44	903	5117
45	920	5082
46	941	5069
47	961	5049
48	983	5036
49	1003	5016
50	1025	5008
51	1047	4993
52	1068	4978
53	1088	4958
54	1108	4937
55	1132	4933
56	1149	4900
57	1169	4878
58	1188	4853
59	1207	4831
60	1225	4800
61	1241	4765
62	1258	4732
63	1274	4698
64	1300	4701
65	1392	4935
66	1414	4917
67	1439	4909
68	1457	4879
69	1474	4844
70	1490	4808
71	1507	4772
72	1526	4747
73	1543	4714
74	1560	4680
75	1577	4649
76	1600	4635
77	1623	4619
78	1641	4593
79	1664	4576
80	1684	4555
81	1704	4532
82	1726	4513
83	1750	4502
84	1783	4510
85	1804	4490
86	1827	4474
87	1846	4449
88	1864	4420
89	1882	4391
90	1898	4360
91	1916	4333
92	1934	4304
93	1950	4275
94	1968	4248
95	1987	4223
96	2004	4194
97	2028	4180
98	2048	4159
99	2065	4130
100	2088	4114
101	2104	4086
102	2118	4051
103	2134	4023
104	2150	3994
105	2166	3965
106	2186	3943
107	2202	3915
108	2223	3896
109	2251	3889
110	2277	3877
111	2307	3873
112	2349	3888
113	2382	3888
114	2416	3886
115	2454	3893
116	2494	3901
117	2523	3892
118	2541	3865
119	2561	3842
120	2578	3814
121	2596	3788
122	2614	3761
123	2630	3734
124	2647	3707
125	2666	3682
126	2693	3668
127	2709	3640
128	2727	3616
129	2747	3592
130	2765	3568
131	2783	3543
132	2801	3517
133	2822	3496
134	2839	3470
135	2864	3454
136	2889	3437
137	2908	3414
138	2927	3391
139	2946	3367
140	2972	3351
141	2996	3334
142	3022	3318
143	3045	3299
144	3065	3277
145	3088	3257
146	3115	3243
147	3142	3227
148	3169	3212
149	3196	3196
150	3225	3182
151	3253	3167
152	3276	3148
153	3313	3141
154	3344	3129
155	3374	3114
156	3403	3100
157	3429	3081
158	3457	3065
159	3484	3048
160	3511	3031
161	3541	3017
162	3574	3004
163	3606	2990
164	3633	2973
165	3662	2956
166	3687	2936
167	3709	2914
168	3740	2899
169	3762	2876
170	3780	2851
171	3803	2830
172	3821	2805
173	3843	2783
174	3861	2758
175	3884	2736
176	3909	2716
177	3933	2696
178	3956	2674
179	3975	2650
180	4000	2630
181	4017	2604
182	4034	2579
183	4054	2556
184	4072	2531
185	4088	2506
186	4104	2480
187	4124	2457
188	4141	2432
189	4159	2407
190	4176	2383
191	4193	2359
192	4213	2335
193	4234	2313
194	4251	2289
195	4269	2265
196	4286	2241
197	4304	2217
198	4322	2193
199	4342	2171
200	4362	2148
201	4382	2126
202	4406	2105
203	4440	2089
204	4469	2071
205	4493	2050
206	4521	2031
207	4550	2012
208	4579	1993
209	4603	1972
210	4627	1951
211	4654	1932
212	4676	1910
213	4696	1887
214	4718	1865
215	4740	1843
216	4760	1820
217	4783	1799
218	4804	1776
219	4824	1754
220	4850	1734
221	4883	1715
222	4918	1698
223	4946	1678
224	4967	1655
225	4988	1633
226	5009	1611
227	5032	1589
228	5053	1566
229	5075	1544
230	5102	1524
231	5124	1501
232	5146	1480
233	5169	1458
234	5198	1437
235	5218	1415
236	5236	1392
237	5253	1368
238	5269	1345
239	5289	1322
240	5316	1301
241	5339	1279
242	5357	1256
243	5374	1233
244	5393	1210
245	5414	1188
246	5439	1167
247	5462	1145
248	5483	1123
249	5502	1100
250	5527	1079
251	5549	1057
252	5572	1035
253	5591	1012
254	5615	990
255	5636	968
256	5657	946
257	5680	924
258	5701	902
259	5722	880
260	5747	858
261	5770	836
262	5791	814
263	5813	792
264	5835	770
265	5859	748
266	5885	727
267	5905	705
268	5925	682
269	5945	660
270	5979	639
271	6002	617
272	6024	595
273	6046	573
274	6073	552
275	6102	530
276	6128	508
277	6150	486
278	6172	464
279	6200	442
280	6222	420
281	6245	398
282	6266	376
283	6287	354
284	6308	332
285	6330	309
286	6351	287
287	6373	265
288	6396	243
289	6429	221
290	6451	199
291	6471	177
292	6494	155
293	6520	133
294	6545	110
295	6566	88
296	6589	66
297	6610	44
298	6639	22
299	6661	0
